"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"CYRE3","ON NM","273755006","0.296","98454079581","273755006","0.29600000381469727","0","2025-03-09","CYRELA REALT"
"AURE3","ON NM","323738747","0.13","98454079581","323738747","0.12999999523162842","0","2025-03-09","AUREN"
"SLCE3","ON NM","194261422","0.185","98454079581","194261422","0.1850000023841858","0","2025-03-09","SLC AGRICOLA"
"PETR3","ON N2","2255782178","4.198","98454079581","6686914838","11.829999923706055","0","2025-03-09","PETROBRAS"
"MULT3","ON N2","314150156","0.337","98454079581","314150156","0.3370000123977661","0","2025-03-09","MULTIPLAN"
"VALE3","ON ED NM","4270903023","11.657","98454079581","4270903023","11.656999588012695","0","2025-03-09","VALE"
"CCRO3","ON NM","991920937","0.583","98454079581","991920937","0.5830000042915344","0","2025-03-09","CCR SA"
"BPAC11","UNT N2","1287247964","2.054","98454079581","1287247964","2.053999900817871","0","2025-03-09","BTGP BANCO"
"BRAV3","ON NM","460791208","0.408","98454079581","460791208","0.40799999237060547","0","2025-03-09","BRAVA"
"BRKM5","PNA N1","265388400","0.143","98454079581","265388400","0.14300000667572021","0","2025-03-09","BRASKEM"
"BEEF3","ON NM","261359935","0.063","98454079581","261359935","0.06300000101327896","0","2025-03-09","MINERVA"
"PETZ3","ON NM","293689428","0.062","98454079581","293689428","0.06199999898672104","0","2025-03-09","PETZ"
"POMO4","PN ED N2","666378439","0.239","98454079581","666378439","0.23899999260902405","0","2025-03-09","MARCOPOLO"
"RADL3","ON NM","1286616979","1.14","98454079581","1286616979","1.1399999856948853","0","2025-03-09","RAIADROGASIL"
"ABEV3","ON","4394835131","2.863","98454079581","4394835131","2.86299991607666","0","2025-03-09","AMBEV S%2FA"
"ASAI3","ON NM","1345832968","0.455","98454079581","1345832968","0.45500001311302185","0","2025-03-09","ASSAI"
"CSNA3","ON","727459637","0.318","98454079581","727459637","0.3179999887943268","0","2025-03-09","SID NACIONAL"
"USIM5","PNA N1","515193199","0.154","98454079581","515193199","0.15399999916553497","0","2025-03-09","USIMINAS"
"JBSS3","ON NM","1145962972","1.795","98454079581","1145962972","1.7949999570846558","0","2025-03-09","JBS"
"ENGI11","UNT ED N2","326175300","0.636","98454079581","326175300","0.6359999775886536","0","2025-03-09","ENERGISA"
"CPFE3","ON NM","187732538","0.352","98454079581","187732538","0.35199999809265137","0","2025-03-09","CPFL ENERGIA"
"HAPV3","ON NM","4779395040","0.516","98454079581","4779395040","0.515999972820282","0","2025-03-09","HAPVIDA"
"RECV3","ON NM","275170410","0.217","98454079581","275170410","0.21699999272823334","0","2025-03-09","PETRORECSA"
"VAMO3","ON NM","485166826","0.092","98454079581","485166826","0.09200000017881393","0","2025-03-09","VAMOS"
"RDOR3","ON NM","1145289019","1.603","98454079581","1145289019","1.6030000448226929","0","2025-03-09","REDE D OR"
"EQTL3","ON NM","1253541010","1.92","98454079581","1253541010","1.9199999570846558","0","2025-03-09","EQUATORIAL"
"ENEV3","ON NM","1929556616","1.164","98454079581","1929556616","1.1640000343322754","0","2025-03-09","ENEVA"
